user_id,event_name,event_timestamp,stage_order
100000,signup_started,2026-01-17 00:00:00.000000,0
100000,otp_verified,2026-01-17 04:10:53.068257,1
100001,signup_started,2026-01-09 00:00:00.000000,0
100001,otp_verified,2026-01-09 06:25:41.016369,1
100001,bank_linked,2026-01-09 09:42:24.676956,2
100001,upi_pin_set,2026-01-09 14:04:30.260078,3
100001,kyc_completed,2026-01-10 07:46:23.719506,4
100002,signup_started,2026-01-20 00:00:00.000000,0
100002,otp_verified,2026-01-20 07:41:24.203134,1
100003,signup_started,2026-01-15 00:00:00.000000,0
100003,otp_verified,2026-01-15 00:38:17.148869,1
100003,bank_linked,2026-01-15 00:49:23.415501,2
100003,upi_pin_set,2026-01-15 03:30:54.525390,3
100004,signup_started,2026-01-03 00:00:00.000000,0
100004,otp_verified,2026-01-03 12:14:45.845920,1
100004,bank_linked,2026-01-03 19:02:17.795282,2
100004,upi_pin_set,2026-01-03 20:48:37.430437,3
100005,signup_started,2026-01-26 00:00:00.000000,0
100005,otp_verified,2026-01-26 14:58:47.218622,1
100006,signup_started,2026-01-17 00:00:00.000000,0
100006,otp_verified,2026-01-17 01:28:22.847971,1
100007,signup_started,2026-01-17 00:00:00.000000,0
100007,otp_verified,2026-01-17 01:42:56.363646,1
100008,signup_started,2026-01-04 00:00:00.000000,0
100008,otp_verified,2026-01-04 03:33:55.810943,1
100008,bank_linked,2026-01-04 15:15:21.003533,2
100009,signup_started,2026-01-09 00:00:00.000000,0
100009,otp_verified,2026-01-09 04:45:44.011978,1
100009,bank_linked,2026-01-09 05:36:57.247818,2
100009,upi_pin_set,2026-01-09 11:08:56.777008,3
100009,kyc_completed,2026-01-11 03:30:01.524481,4
100009,first_txn_attempted,2026-01-11 06:25:54.765054,5
100009,first_txn_success,2026-01-12 16:53:31.302447,6
100010,signup_started,2026-01-08 00:00:00.000000,0
100010,otp_verified,2026-01-08 00:56:50.401714,1
100010,bank_linked,2026-01-08 15:52:57.452507,2
100010,upi_pin_set,2026-01-09 02:35:31.025248,3
100011,signup_started,2026-01-23 00:00:00.000000,0
100011,otp_verified,2026-01-23 05:51:10.845597,1
100011,bank_linked,2026-01-23 13:44:39.155980,2
100011,upi_pin_set,2026-01-23 16:29:11.748741,3
100011,kyc_completed,2026-01-28 04:23:56.089138,4
100011,first_txn_attempted,2026-01-29 06:17:29.518357,5
